class_id,class_name,precision,recall,mask_AP50,mask_AP50_95
32,grapes,0.7861327637265074,1.0,0.995,0.6305
55,meatonly-chickenleg,0.5549910269388878,0.7272727272727273,0.709692960476992,0.623521009335577
174,meatveg-pork-chili,0.570309287328037,0.6,0.6484428457872069,0.6132977718858572
43,lau,0.5450277598184748,0.782608695652174,0.7091234276204881,0.6051366651486033
5,begun-vaji,0.7216468937307213,0.5714285714285714,0.6436363636363636,0.6031060606060605
56,meatonly-chickensteak,0.7444702813400034,0.5384615384615384,0.6040249433106575,0.6022432219264516
64,meatonly-egg-braisedinsoy,0.4119523246940052,0.7272727272727273,0.6137272727272728,0.5886675324675326
41,kumra-vaji,0.4824798715711301,0.7666666666666667,0.6665903731229601,0.5813240362433374
7,biriyani,0.6598975776540517,0.6,0.7616666666666666,0.573
344,watermelon,0.6430794764550527,0.6,0.630515370705244,0.5700433996383362
46,meatonly-beef,0.8563509940028912,0.6419753086419753,0.7332392186978237,0.562124487341896
16,chola,0.6762294955170867,0.8333333333333334,0.761117216117216,0.5583691199151725
290,vegetarian-greens,0.5833397144836012,0.7087378640776699,0.6662780279354341,0.5515384651900611
168,meatveg-pork-carrot-woodearmushroom,0.887545907673523,0.5,0.606111111111111,0.5454999999999999
256,vegetable,0.6045009704495338,0.6440677966101694,0.6724994558902344,0.5441672592940677
4,beef,0.5023906905242833,0.75,0.6927566118935837,0.5333967094017095
12,cauliflower,0.804938167286619,0.6,0.5864850686037126,0.5321513317191283
277,vegetarian-chinesecabbage,0.6048174961307518,0.6363636363636364,0.6041003336836546,0.5266578853632465
40,korola-vaji,0.9326336076343704,0.7142857142857143,0.715,0.5185333333333333
237,salad,0.6894417385191522,0.5714285714285714,0.6473076923076925,0.5085547785547787
28,fruit-banana,0.9310005252003944,0.43478260869565216,0.5592315618719924,0.5008371646398737
87,meatveg-beef-chili,0.5822921732642216,0.5,0.5294827586206897,0.49844827586206897
162,meatveg-mincedmeat-yardlongbean-chili,1.0,0.0,0.4975,0.49749999999999994
235,roll,1.0,0.0,0.4975,0.49749999999999994
212,meatveg-pork-zucchini,1.0,0.0,0.495,0.495
227,pineapple,0.5073345448437634,0.3333333333333333,0.6589761904761905,0.4866823308270676
258,vegetarian-beansprouts-greens,0.47402132988955126,0.5,0.5859090909090907,0.47772727272727256
24,egg-boiled,0.41058991140962214,0.5,0.5713952569169961,0.47762884434406183
2,badam,0.6067034584948778,0.3333333333333333,0.6178571428571431,0.47542857142857164
165,meatveg-pork-broccoli,0.408313328613489,0.5,0.5028124999999998,0.453517857142857
